s,p,o
http://rdf.geohistoricaldata.org/id/directories/entry/980241,http://rdf.geohistoricaldata.org/def/directory#numEntry,2236
http://rdf.geohistoricaldata.org/id/directories/entry/980242,http://rdf.geohistoricaldata.org/def/directory#numEntry,5963
http://rdf.geohistoricaldata.org/id/directories/entry/980243,http://rdf.geohistoricaldata.org/def/directory#numEntry,7528
http://rdf.geohistoricaldata.org/id/directories/entry/980244,http://rdf.geohistoricaldata.org/def/directory#numEntry,10083
http://rdf.geohistoricaldata.org/id/directories/entry/980245,http://rdf.geohistoricaldata.org/def/directory#numEntry,10813
http://rdf.geohistoricaldata.org/id/directories/entry/980246,http://rdf.geohistoricaldata.org/def/directory#numEntry,10995
http://rdf.geohistoricaldata.org/id/directories/entry/980247,http://rdf.geohistoricaldata.org/def/directory#numEntry,11003
http://rdf.geohistoricaldata.org/id/directories/entry/980248,http://rdf.geohistoricaldata.org/def/directory#numEntry,11008
http://rdf.geohistoricaldata.org/id/directories/entry/980249,http://rdf.geohistoricaldata.org/def/directory#numEntry,11008
http://rdf.geohistoricaldata.org/id/directories/entry/980250,http://rdf.geohistoricaldata.org/def/directory#numEntry,11597
http://rdf.geohistoricaldata.org/id/directories/entry/980251,http://rdf.geohistoricaldata.org/def/directory#numEntry,11597
http://rdf.geohistoricaldata.org/id/directories/entry/980252,http://rdf.geohistoricaldata.org/def/directory#numEntry,11614
http://rdf.geohistoricaldata.org/id/directories/entry/980253,http://rdf.geohistoricaldata.org/def/directory#numEntry,11877
http://rdf.geohistoricaldata.org/id/directories/entry/980254,http://rdf.geohistoricaldata.org/def/directory#numEntry,15605
http://rdf.geohistoricaldata.org/id/directories/entry/980255,http://rdf.geohistoricaldata.org/def/directory#numEntry,16266
http://rdf.geohistoricaldata.org/id/directories/entry/980256,http://rdf.geohistoricaldata.org/def/directory#numEntry,16267
http://rdf.geohistoricaldata.org/id/directories/entry/980257,http://rdf.geohistoricaldata.org/def/directory#numEntry,18960
http://rdf.geohistoricaldata.org/id/directories/entry/980258,http://rdf.geohistoricaldata.org/def/directory#numEntry,23115
http://rdf.geohistoricaldata.org/id/directories/entry/980259,http://rdf.geohistoricaldata.org/def/directory#numEntry,23116
http://rdf.geohistoricaldata.org/id/directories/entry/980260,http://rdf.geohistoricaldata.org/def/directory#numEntry,24005
http://rdf.geohistoricaldata.org/id/directories/entry/980261,http://rdf.geohistoricaldata.org/def/directory#numEntry,26032
http://rdf.geohistoricaldata.org/id/directories/entry/980262,http://rdf.geohistoricaldata.org/def/directory#numEntry,26570
http://rdf.geohistoricaldata.org/id/directories/entry/980263,http://rdf.geohistoricaldata.org/def/directory#numEntry,29106
http://rdf.geohistoricaldata.org/id/directories/entry/980264,http://rdf.geohistoricaldata.org/def/directory#numEntry,30509
http://rdf.geohistoricaldata.org/id/directories/entry/980265,http://rdf.geohistoricaldata.org/def/directory#numEntry,30579
http://rdf.geohistoricaldata.org/id/directories/entry/980266,http://rdf.geohistoricaldata.org/def/directory#numEntry,33297
http://rdf.geohistoricaldata.org/id/directories/entry/980267,http://rdf.geohistoricaldata.org/def/directory#numEntry,40414
http://rdf.geohistoricaldata.org/id/directories/entry/980268,http://rdf.geohistoricaldata.org/def/directory#numEntry,40554
http://rdf.geohistoricaldata.org/id/directories/entry/980269,http://rdf.geohistoricaldata.org/def/directory#numEntry,42084
http://rdf.geohistoricaldata.org/id/directories/entry/980270,http://rdf.geohistoricaldata.org/def/directory#numEntry,42297
http://rdf.geohistoricaldata.org/id/directories/entry/980271,http://rdf.geohistoricaldata.org/def/directory#numEntry,43386
http://rdf.geohistoricaldata.org/id/directories/entry/980272,http://rdf.geohistoricaldata.org/def/directory#numEntry,44104
http://rdf.geohistoricaldata.org/id/directories/entry/980273,http://rdf.geohistoricaldata.org/def/directory#numEntry,45036
http://rdf.geohistoricaldata.org/id/directories/entry/980274,http://rdf.geohistoricaldata.org/def/directory#numEntry,45037
http://rdf.geohistoricaldata.org/id/directories/entry/980275,http://rdf.geohistoricaldata.org/def/directory#numEntry,45131
http://rdf.geohistoricaldata.org/id/directories/entry/980276,http://rdf.geohistoricaldata.org/def/directory#numEntry,45800
http://rdf.geohistoricaldata.org/id/directories/entry/980277,http://rdf.geohistoricaldata.org/def/directory#numEntry,46729
http://rdf.geohistoricaldata.org/id/directories/entry/980278,http://rdf.geohistoricaldata.org/def/directory#numEntry,48126
http://rdf.geohistoricaldata.org/id/directories/entry/980279,http://rdf.geohistoricaldata.org/def/directory#numEntry,49308
http://rdf.geohistoricaldata.org/id/directories/entry/980280,http://rdf.geohistoricaldata.org/def/directory#numEntry,49308
http://rdf.geohistoricaldata.org/id/directories/entry/980281,http://rdf.geohistoricaldata.org/def/directory#numEntry,49309
